#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2010 01 02 21 51 999 99.0 99.0  1.58  9.88  8.70 356 9999.0 999.0  24.9 999.0 99.0 99.00
2010 01 02 22 21 999 99.0 99.0  1.61 15.38  8.67 317 9999.0 999.0  24.9 999.0 99.0 99.00
2010 01 02 22 51 999 99.0 99.0  1.68 16.67  9.10 315 9999.0 999.0  24.9 999.0 99.0 99.00
2010 01 02 23 21 999 99.0 99.0  1.95 15.38  9.52 315 9999.0 999.0  24.8 999.0 99.0 99.00
2010 01 02 23 51 999 99.0 99.0  1.96 15.38 10.52 314 9999.0 999.0  24.9 999.0 99.0 99.00
2010 01 03 00 21 999 99.0 99.0  1.73 16.67 10.02 311 9999.0 999.0  24.7 999.0 99.0 99.00
2010 01 03 00 51 999 99.0 99.0  1.72 15.38  9.71 318 9999.0 999.0  24.9 999.0 99.0 99.00
2010 01 03 01 21 999 99.0 99.0  1.85 15.38  9.55 315 9999.0 999.0  25.0 999.0 99.0 99.00
2010 01 03 01 51 999 99.0 99.0  1.77 16.67  9.82 311 9999.0 999.0  24.8 999.0 99.0 99.00
2010 01 03 02 21 999 99.0 99.0  1.96 16.67 10.27 312 9999.0 999.0  24.7 999.0 99.0 99.00
2010 01 03 02 51 999 99.0 99.0  1.70 16.67  9.06 315 9999.0 999.0  24.6 999.0 99.0 99.00
2010 01 03 03 21 999 99.0 99.0  1.73 15.38  9.25 315 9999.0 999.0  24.6 999.0 99.0 99.00
2010 01 03 03 51 999 99.0 99.0  1.79 16.67  9.47 319 9999.0 999.0  24.5 999.0 99.0 99.00
2010 01 03 04 21 999 99.0 99.0  1.84 16.67  9.86 315 9999.0 999.0  24.6 999.0 99.0 99.00
2010 01 03 04 51 999 99.0 99.0  1.84 16.67 10.38 314 9999.0 999.0  24.6 999.0 99.0 99.00
2010 01 03 05 21 999 99.0 99.0  1.93 16.67 10.72 318 9999.0 999.0  24.6 999.0 99.0 99.00
2010 01 03 05 51 999 99.0 99.0  1.51 16.67  9.54 317 9999.0 999.0  24.6 999.0 99.0 99.00
2010 01 03 06 21 999 99.0 99.0  1.62 16.67  9.55 312 9999.0 999.0  24.6 999.0 99.0 99.00
2010 01 03 06 51 999 99.0 99.0  1.40 15.38  8.64 312 9999.0 999.0  24.6 999.0 99.0 99.00
2010 01 03 07 21 999 99.0 99.0  1.51 16.67  9.01 315 9999.0 999.0  24.6 999.0 99.0 99.00
2010 01 03 07 51 999 99.0 99.0  1.56 16.67  9.67 322 9999.0 999.0  24.6 999.0 99.0 99.00
2010 01 03 08 21 999 99.0 99.0  1.64 16.67 10.30 319 9999.0 999.0  24.5 999.0 99.0 99.00
2010 01 03 08 51 999 99.0 99.0  1.45 16.67  9.76 319 9999.0 999.0  24.6 999.0 99.0 99.00
2010 01 03 09 21 999 99.0 99.0  1.69 15.38 11.43 314 9999.0 999.0  24.6 999.0 99.0 99.00
2010 01 03 09 51 999 99.0 99.0  1.54 15.38 11.50 318 9999.0 999.0  24.5 999.0 99.0 99.00
