#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2015 01 04 01 20 999 99.0 99.0  2.99 16.67  6.84 311 9999.0 999.0  24.2 999.0 99.0 99.00
2015 01 04 01 50 999 99.0 99.0  3.08  9.09  6.99 313 9999.0 999.0  24.2 999.0 99.0 99.00
2015 01 04 02 20 999 99.0 99.0  3.17 16.67  7.15 313 9999.0 999.0  24.2 999.0 99.0 99.00
2015 01 04 02 50 999 99.0 99.0  3.14  7.69  7.17 320 9999.0 999.0  24.2 999.0 99.0 99.00
2015 01 04 03 20 999 99.0 99.0  3.35  9.09  7.17 324 9999.0 999.0  24.1 999.0 99.0 99.00
2015 01 04 03 50 999 99.0 99.0  3.38 16.67  7.55 313 9999.0 999.0  24.1 999.0 99.0 99.00
2015 01 04 04 20 999 99.0 99.0  3.42  9.09  7.60 327 9999.0 999.0  24.1 999.0 99.0 99.00
2015 01 04 04 50 999 99.0 99.0  3.50  8.33  7.52 331 9999.0 999.0  24.1 999.0 99.0 99.00
2015 01 04 05 20 999 99.0 99.0  3.34  8.33  7.33 320 9999.0 999.0  24.1 999.0 99.0 99.00
2015 01 04 05 50 999 99.0 99.0  3.46  8.33  7.54 327 9999.0 999.0  24.1 999.0 99.0 99.00
2015 01 04 06 20 999 99.0 99.0  3.33  9.09  7.61 337 9999.0 999.0  24.1 999.0 99.0 99.00
2015 01 04 06 50 999 99.0 99.0  3.43  9.88  7.78 342 9999.0 999.0  24.1 999.0 99.0 99.00
2015 01 04 07 20 999 99.0 99.0  3.18  9.09  7.67 335 9999.0 999.0  24.1 999.0 99.0 99.00
2015 01 04 07 50 999 99.0 99.0  3.20  9.88  7.58 351 9999.0 999.0  24.1 999.0 99.0 99.00
2015 01 04 08 20 999 99.0 99.0  3.30  9.09  7.83 332 9999.0 999.0  24.1 999.0 99.0 99.00
2015 01 04 08 50 999 99.0 99.0  3.56  9.88  8.04 339 9999.0 999.0  24.1 999.0 99.0 99.00
2015 01 04 09 20 999 99.0 99.0  3.11  9.09  7.60 338 9999.0 999.0  24.1 999.0 99.0 99.00
2015 01 04 09 50 999 99.0 99.0  3.09  9.88  7.87 348 9999.0 999.0  24.1 999.0 99.0 99.00
2015 01 04 10 20 999 99.0 99.0  3.07  9.88  7.70 347 9999.0 999.0  24.1 999.0 99.0 99.00
2015 01 04 10 50 999 99.0 99.0  2.87  9.09  8.04 334 9999.0 999.0  24.1 999.0 99.0 99.00
2015 01 04 11 20 999 99.0 99.0  2.98  9.09  8.07 334 9999.0 999.0  24.1 999.0 99.0 99.00
2015 01 04 11 50 999 99.0 99.0  3.10  9.88  7.98 338 9999.0 999.0  24.1 999.0 99.0 99.00
2015 01 04 12 20 999 99.0 99.0  3.01 15.38  8.05 320 9999.0 999.0  24.1 999.0 99.0 99.00
2015 01 04 12 50 999 99.0 99.0  3.16  9.88  7.90 341 9999.0 999.0  24.1 999.0 99.0 99.00
2015 01 04 13 20 999 99.0 99.0  3.14  9.88  7.96 337 9999.0 999.0  24.1 999.0 99.0 99.00
2015 01 04 13 50 999 99.0 99.0  2.90  9.09  7.81 324 9999.0 999.0  24.1 999.0 99.0 99.00
2015 01 04 14 20 999 99.0 99.0  3.04  9.09  7.94 325 9999.0 999.0  24.1 999.0 99.0 99.00
2015 01 04 14 50 999 99.0 99.0  3.01 10.53  7.73 359 9999.0 999.0  24.1 999.0 99.0 99.00
2015 01 04 15 20 999 99.0 99.0  3.27  9.09  7.65 334 9999.0 999.0  24.0 999.0 99.0 99.00
2015 01 04 15 50 999 99.0 99.0  3.18  9.88  7.77 335 9999.0 999.0  24.0 999.0 99.0 99.00
2015 01 04 16 20 999 99.0 99.0  3.33  9.88  7.61 335 9999.0 999.0  24.0 999.0 99.0 99.00
2015 01 04 16 50 999 99.0 99.0  3.07  9.09  7.51 324 9999.0 999.0  24.0 999.0 99.0 99.00
2015 01 04 17 20 999 99.0 99.0  3.36 13.33  7.83 320 9999.0 999.0  24.0 999.0 99.0 99.00
2015 01 04 17 50 999 99.0 99.0  2.94  9.88  7.42 344 9999.0 999.0  24.0 999.0 99.0 99.00
2015 01 04 18 20 999 99.0 99.0  3.27 14.29  8.12 317 9999.0 999.0  24.0 999.0 99.0 99.00
2015 01 04 18 50 999 99.0 99.0  2.98 13.33  7.68 321 9999.0 999.0  24.0 999.0 99.0 99.00
2015 01 04 19 20 999 99.0 99.0  3.11 10.53  7.75 344 9999.0 999.0  24.0 999.0 99.0 99.00
2015 01 04 19 50 999 99.0 99.0  3.10  9.09  7.61 334 9999.0 999.0  24.0 999.0 99.0 99.00
2015 01 04 20 20 999 99.0 99.0  3.18 10.53  7.80 344 9999.0 999.0  24.0 999.0 99.0 99.00
2015 01 04 20 50 999 99.0 99.0  3.02 11.11  7.60 341 9999.0 999.0  24.0 999.0 99.0 99.00
2015 01 04 21 20 999 99.0 99.0  3.12  8.33  7.65 341 9999.0 999.0  24.0 999.0 99.0 99.00
2015 01 04 21 50 999 99.0 99.0  3.06 13.33  7.85 328 9999.0 999.0  24.0 999.0 99.0 99.00
2015 01 04 22 20 999 99.0 99.0  3.02 13.33  8.00 323 9999.0 999.0  24.0 999.0 99.0 99.00
2015 01 04 22 50 999 99.0 99.0  2.81 14.29  8.15 321 9999.0 999.0  24.0 999.0 99.0 99.00
2015 01 04 23 20 999 99.0 99.0  2.96 14.29  8.13 328 9999.0 999.0  24.0 999.0 99.0 99.00
2015 01 04 23 50 999 99.0 99.0  2.99 10.53  7.83 334 9999.0 999.0  24.0 999.0 99.0 99.00
2015 01 05 00 20 999 99.0 99.0  2.69  9.09  7.79 334 9999.0 999.0  24.0 999.0 99.0 99.00
2015 01 05 00 50 999 99.0 99.0  2.96 14.29  7.86 318 9999.0 999.0  24.0 999.0 99.0 99.00
2015 01 05 01 20 999 99.0 99.0  2.95  9.88  7.97 332 9999.0 999.0  24.0 999.0 99.0 99.00
2015 01 05 01 50 999 99.0 99.0  2.79 13.33  7.76 323 9999.0 999.0  24.1 999.0 99.0 99.00
2015 01 05 02 20 999 99.0 99.0  2.83 13.33  7.97 320 9999.0 999.0  24.1 999.0 99.0 99.00
2015 01 05 02 50 999 99.0 99.0  2.93 10.53  8.29 348 9999.0 999.0  24.1 999.0 99.0 99.00
2015 01 05 03 20 999 99.0 99.0  2.54 11.76  8.17 337 9999.0 999.0  24.1 999.0 99.0 99.00
2015 01 05 03 50 999 99.0 99.0  2.72 10.53  8.17 330 9999.0 999.0  24.1 999.0 99.0 99.00
2015 01 05 04 20 999 99.0 99.0  2.93 11.76  8.29 334 9999.0 999.0  24.1 999.0 99.0 99.00
2015 01 05 04 50 999 99.0 99.0  2.83 12.50  8.00 338 9999.0 999.0  24.1 999.0 99.0 99.00
2015 01 05 05 20 999 99.0 99.0  2.89 11.76  8.12 335 9999.0 999.0  24.1 999.0 99.0 99.00
2015 01 05 05 50 999 99.0 99.0  2.84  9.88  7.97 349 9999.0 999.0  24.1 999.0 99.0 99.00
2015 01 05 06 20 999 99.0 99.0  2.77  9.88  8.00 332 9999.0 999.0  24.1 999.0 99.0 99.00
2015 01 05 06 50 999 99.0 99.0  2.61 12.50  7.89 334 9999.0 999.0  24.1 999.0 99.0 99.00
2015 01 05 07 20 999 99.0 99.0  2.72  9.09  8.24 341 9999.0 999.0  24.1 999.0 99.0 99.00
2015 01 05 07 50 999 99.0 99.0  2.68 13.33  8.31 330 9999.0 999.0  24.1 999.0 99.0 99.00
2015 01 05 08 20 999 99.0 99.0  2.46 11.11  8.15 356 9999.0 999.0  24.1 999.0 99.0 99.00
2015 01 05 08 50 999 99.0 99.0  2.73  9.88  8.65 358 9999.0 999.0  24.0 999.0 99.0 99.00
2015 01 05 09 20 999 99.0 99.0  2.70 11.76  8.55 344 9999.0 999.0  24.0 999.0 99.0 99.00
2015 01 05 09 50 999 99.0 99.0  2.57  9.88  8.17 358 9999.0 999.0  24.0 999.0 99.0 99.00
2015 01 05 10 20 999 99.0 99.0  2.38 11.76  8.09 339 9999.0 999.0  24.0 999.0 99.0 99.00
2015 01 05 11 20 999 99.0 99.0  2.58 10.53  8.56   1 9999.0 999.0  24.0 999.0 99.0 99.00
2015 01 05 11 50 999 99.0 99.0  2.68 11.76  8.74 337 9999.0 999.0  24.0 999.0 99.0 99.00
2015 01 05 12 20 999 99.0 99.0  2.53 11.11  8.45 347 9999.0 999.0  24.0 999.0 99.0 99.00
2015 01 05 12 50 999 99.0 99.0  2.50 11.76  8.32 347 9999.0 999.0  24.0 999.0 99.0 99.00
2015 01 05 13 20 999 99.0 99.0  2.46 11.11  8.47 349 9999.0 999.0  24.0 999.0 99.0 99.00
2015 01 05 13 50 999 99.0 99.0  2.48 12.50  8.36 342 9999.0 999.0  24.0 999.0 99.0 99.00
2015 01 05 14 20 999 99.0 99.0  2.39 11.76  8.30 344 9999.0 999.0  24.0 999.0 99.0 99.00
2015 01 05 14 50 999 99.0 99.0  2.40 11.11  8.40 338 9999.0 999.0  24.0 999.0 99.0 99.00
2015 01 05 15 20 999 99.0 99.0  2.36 10.53  8.48 335 9999.0 999.0  24.1 999.0 99.0 99.00
2015 01 05 15 50 999 99.0 99.0  2.25 11.76  8.17 332 9999.0 999.0  24.1 999.0 99.0 99.00
2015 01 05 16 20 999 99.0 99.0  2.30 11.11  7.98 337 9999.0 999.0  24.1 999.0 99.0 99.00
2015 01 05 16 50 999 99.0 99.0  2.56 11.11  8.38 347 9999.0 999.0  24.1 999.0 99.0 99.00
2015 01 05 17 20 999 99.0 99.0  2.25 10.53  7.63 354 9999.0 999.0  24.1 999.0 99.0 99.00
